Campaign,Date,City/Location,Latitude,Longitude,Channel,Device,Ad,Impressions,"CTR, %",Clicks,Daily Average CPC,"Spend, GBP",Conversions,"Total conversion value, GBP",Likes (Reactions),Shares,Comments,Concatenated value
Fall,2023-09-01 00:00:00,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1841,0.0172,31.6652,0.8624999999999998,27.311234999999993,1,67.2,71,6,6,Fall-Birmingham-Collection
Fall,2023-09-01 00:00:00,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1328,0.0091,12.084800000000001,2.4724999999999997,29.879668,2,280.224,78,10,4.5,Fall-Birmingham-Discount
Fall,2023-09-01 00:00:00,Birmingham,52.489471,-1.898575,Facebook,Mobile,Collection,1998,0.013999999999999999,27.971999999999998,0.5299999999999999,14.825159999999997,1,160.72,70,44,10,Fall-Birmingham-Collection
Fall,2023-09-01 00:00:00,Birmingham,52.489471,-1.898575,Facebook,Mobile,Discount,1886,0.007200000000000001,13.579200000000002,0.8500000000000001,11.542320000000004,7,114.8,110,20,5,Fall-Birmingham-Discount
Fall,2023-09-01 00:00:00,Birmingham,52.489471,-1.898575,Instagram,Desktop,Collection,1924,0.0187,35.9788,0.322,11.585173600000001,1,55.43999999999999,74,10,7.5,Fall-Birmingham-Collection
Fall,2023-09-01 00:00:00,Birmingham,52.489471,-1.898575,Instagram,Desktop,Discount,1099,0.01188,13.05612,1.2305,16.065555659999998,9,884.4,74,1,4.5,Fall-Birmingham-Discount
Fall,2023-09-01 00:00:00,Birmingham,52.489471,-1.898575,Instagram,Mobile,Collection,2639,0.012320000000000001,32.512480000000004,0.8299999999999997,26.985358399999996,3,36.4,32,15,8,Fall-Birmingham-Collection
Fall,2023-09-01 00:00:00,Birmingham,52.489471,-1.898575,Instagram,Mobile,Discount,2064,0.007810000000000001,16.119840000000003,1.19,19.182609600000003,5,315,107,6,6,Fall-Birmingham-Discount
Fall,2023-09-01 00:00:00,Birmingham,52.489471,-1.898575,Pinterest,Desktop,Collection,1576,0.0155,24.428,0.5979999999999998,14.607943999999994,3,212.4,29,8,9,Fall-Birmingham-Collection
Fall,2023-09-01 00:00:00,Birmingham,52.489471,-1.898575,Pinterest,Desktop,Discount,1325,0.008299999999999998,10.997499999999997,1.1039999999999996,12.141239999999993,4,343.2,44,6,6,Fall-Birmingham-Discount
Fall,2023-09-01 00:00:00,Birmingham,52.489471,-1.898575,Pinterest,Mobile,Collection,2360,0.0079,18.644000000000002,1.0999999999999999,20.508399999999998,4,333,58,10,4,Fall-Birmingham-Collection
Fall,2023-09-01 00:00:00,Birmingham,52.489471,-1.898575,Pinterest,Mobile,Discount,2391,0.0085,20.323500000000003,0.21000000000000008,4.267935000000002,2,250,71,9,5,Fall-Birmingham-Discount
Fall,2023-09-01 00:00:00,London,51.50735,-0.12776,Facebook,Desktop,Collection,2004,0.021500000000000002,43.086000000000006,1.288,55.49476800000001,6,17.28,25,12,15,Fall-London-Collection
Fall,2023-09-01 00:00:00,London,51.50735,-0.12776,Facebook,Desktop,Discount,1999,0.0117,23.3883,2.484,58.0965372,4,39.6,40,10,10.5,Fall-London-Discount
Fall,2023-09-01 00:00:00,London,51.50735,-0.12776,Facebook,Mobile,Collection,3566,0.011099999999999999,39.58259999999999,0.31000000000000005,12.270605999999999,6,42.400000000000006,70,18,15,Fall-London-Collection
Fall,2023-09-01 00:00:00,London,51.50735,-0.12776,Facebook,Mobile,Discount,3392,0.013600000000000001,46.13120000000001,1.7200000000000002,79.34566400000003,7,117.6,101,2,8,Fall-London-Discount
Fall,2023-09-01 00:00:00,London,51.50735,-0.12776,Instagram,Desktop,Collection,1898,0.01683,31.943340000000003,0.8969999999999997,28.653175979999993,3,220.92,19,1,4.5,Fall-London-Collection
Fall,2023-09-01 00:00:00,London,51.50735,-0.12776,Instagram,Desktop,Discount,1625,0.018150000000000003,29.493750000000006,1.6214999999999997,47.824115625,4,283.2,102,16,12,Fall-London-Discount
Fall,2023-09-01 00:00:00,London,51.50735,-0.12776,Instagram,Mobile,Collection,2849,0.016280000000000003,46.38172000000001,1.0199999999999998,47.3093544,4,130.2,20,2,7,Fall-London-Collection
Fall,2023-09-01 00:00:00,London,51.50735,-0.12776,Instagram,Mobile,Discount,2421,0.01012,24.50052,1.6,39.200832000000005,2,166,106,21,12,Fall-London-Discount
Fall,2023-09-01 00:00:00,London,51.50735,-0.12776,Pinterest,Desktop,Collection,1540,0.018900000000000004,29.106000000000005,1.2304999999999997,35.814932999999996,7,266.4,50,6,1.5,Fall-London-Collection
Fall,2023-09-01 00:00:00,London,51.50735,-0.12776,Pinterest,Desktop,Discount,2107,0.011299999999999998,23.809099999999994,0.41399999999999987,9.856967399999995,8,483.59999999999997,44,11,10.5,Fall-London-Discount
Fall,2023-09-01 00:00:00,London,51.50735,-0.12776,Pinterest,Mobile,Collection,2934,0.012199999999999999,35.794799999999995,0.32999999999999996,11.812283999999996,1,135,52,26,1,Fall-London-Collection
Fall,2023-09-01 00:00:00,London,51.50735,-0.12776,Pinterest,Mobile,Discount,1596,0.0053,8.4588,0.5699999999999997,4.821515999999998,4,275,56,42,8,Fall-London-Discount
Fall,2023-09-01 00:00:00,Manchester,53.483959,-2.244644,Facebook,Desktop,Collection,2259,0.0218,49.2462,1.3455,66.2607621,1,350.784,50,29,13.5,Fall-Manchester-Collection
Fall,2023-09-01 00:00:00,Manchester,53.483959,-2.244644,Facebook,Desktop,Discount,1874,0.0194,36.3556,1.7594999999999998,63.9676782,6,19.2,111,13,15,Fall-Manchester-Discount
Fall,2023-09-01 00:00:00,Manchester,53.483959,-2.244644,Facebook,Mobile,Collection,1780,0.0109,19.402,0.27999999999999997,5.43256,0,119.28,72,21,7,Fall-Manchester-Collection
Fall,2023-09-01 00:00:00,Manchester,53.483959,-2.244644,Facebook,Mobile,Discount,2452,0.010100000000000001,24.765200000000004,1.7299999999999998,42.843796,6,118.99999999999999,104,22,9,Fall-Manchester-Discount
Fall,2023-09-01 00:00:00,Manchester,53.483959,-2.244644,Instagram,Desktop,Collection,1664,0.022990000000000003,38.25536,0.09200000000000001,3.519493120000001,5,36,70,2,10.5,Fall-Manchester-Collection
Fall,2023-09-01 00:00:00,Manchester,53.483959,-2.244644,Instagram,Desktop,Discount,1540,0.012649999999999998,19.480999999999998,0.598,11.649637999999998,8,502.79999999999995,103,9,10.5,Fall-Manchester-Discount
Fall,2023-09-01 00:00:00,Manchester,53.483959,-2.244644,Instagram,Mobile,Collection,2341,0.016390000000000002,38.368990000000004,0.5999999999999996,23.02139399999999,8,85.39999999999999,31,6,6,Fall-Manchester-Collection
Fall,2023-09-01 00:00:00,Manchester,53.483959,-2.244644,Instagram,Mobile,Discount,2241,0.01507,33.77187,2.2,74.29811400000001,2,169,138,33,6,Fall-Manchester-Discount
Fall,2023-09-01 00:00:00,Manchester,53.483959,-2.244644,Pinterest,Desktop,Collection,1547,0.0125,19.337500000000002,1.1844999999999997,22.905268749999998,5,315.59999999999997,71,6,1.5,Fall-Manchester-Collection
Fall,2023-09-01 00:00:00,Manchester,53.483959,-2.244644,Pinterest,Desktop,Discount,964,0.011199999999999998,10.796799999999998,0.11500000000000002,1.2416319999999998,7,439.2,84,16,7.5,Fall-Manchester-Discount
